2024-03-26 19:21:40,482 - MVC.controller.ai - INFO - Starting Go strategy
2024-03-26 19:21:40,482 - MVC.controller.ai - INFO - Starting TournerDeg strategy
2024-03-26 19:21:40,484 - MVC.controller.ai - INFO - angle parcourue 0.0, angle 90
2024-03-26 19:21:40,484 - MVC.controller.ai - INFO - angle parcourue 1.0, angle 90
2024-03-26 19:21:40,486 - MVC.controller.ai - INFO - angle parcourue 1.0, angle 90
2024-03-26 19:21:40,486 - MVC.controller.ai - INFO - angle parcourue 2.0, angle 90
2024-03-26 19:21:40,487 - MVC.controller.ai - INFO - angle parcourue 2.0, angle 90
2024-03-26 19:21:40,487 - MVC.controller.ai - INFO - angle parcourue 3.0, angle 90
2024-03-26 19:21:40,489 - MVC.controller.ai - INFO - angle parcourue 3.0, angle 90
2024-03-26 19:21:40,489 - MVC.controller.ai - INFO - angle parcourue 4.0, angle 90
2024-03-26 19:21:40,490 - MVC.controller.ai - INFO - angle parcourue 4.0, angle 90
2024-03-26 19:21:40,490 - MVC.controller.ai - INFO - angle parcourue 5.0, angle 90
2024-03-26 19:21:40,492 - MVC.controller.ai - INFO - angle parcourue 5.0, angle 90
2024-03-26 19:21:40,492 - MVC.controller.ai - INFO - angle parcourue 6.0, angle 90
2024-03-26 19:21:40,493 - MVC.controller.ai - INFO - angle parcourue 6.0, angle 90
2024-03-26 19:21:40,493 - MVC.controller.ai - INFO - angle parcourue 7.0, angle 90
2024-03-26 19:21:40,494 - MVC.controller.ai - INFO - angle parcourue 7.0, angle 90
2024-03-26 19:21:40,494 - MVC.controller.ai - INFO - angle parcourue 8.0, angle 90
2024-03-26 19:21:40,496 - MVC.controller.ai - INFO - angle parcourue 8.0, angle 90
2024-03-26 19:21:40,496 - MVC.controller.ai - INFO - angle parcourue 9.0, angle 90
2024-03-26 19:21:40,497 - MVC.controller.ai - INFO - angle parcourue 9.0, angle 90
2024-03-26 19:21:40,497 - MVC.controller.ai - INFO - angle parcourue 10.0, angle 90
2024-03-26 19:21:40,499 - MVC.controller.ai - INFO - angle parcourue 10.0, angle 90
2024-03-26 19:21:40,499 - MVC.controller.ai - INFO - angle parcourue 11.0, angle 90
2024-03-26 19:21:40,500 - MVC.controller.ai - INFO - angle parcourue 11.0, angle 90
2024-03-26 19:21:40,500 - MVC.controller.ai - INFO - angle parcourue 12.0, angle 90
2024-03-26 19:21:40,501 - MVC.controller.ai - INFO - angle parcourue 12.0, angle 90
2024-03-26 19:21:40,501 - MVC.controller.ai - INFO - angle parcourue 13.0, angle 90
2024-03-26 19:21:40,503 - MVC.controller.ai - INFO - angle parcourue 13.0, angle 90
2024-03-26 19:21:40,503 - MVC.controller.ai - INFO - angle parcourue 14.0, angle 90
2024-03-26 19:21:40,504 - MVC.controller.ai - INFO - angle parcourue 14.0, angle 90
2024-03-26 19:21:40,504 - MVC.controller.ai - INFO - angle parcourue 15.0, angle 90
2024-03-26 19:21:40,505 - MVC.controller.ai - INFO - angle parcourue 15.0, angle 90
2024-03-26 19:21:40,505 - MVC.controller.ai - INFO - angle parcourue 16.0, angle 90
2024-03-26 19:21:40,507 - MVC.controller.ai - INFO - angle parcourue 16.0, angle 90
2024-03-26 19:21:40,507 - MVC.controller.ai - INFO - angle parcourue 17.0, angle 90
2024-03-26 19:21:40,508 - MVC.controller.ai - INFO - angle parcourue 17.0, angle 90
2024-03-26 19:21:40,508 - MVC.controller.ai - INFO - angle parcourue 18.0, angle 90
2024-03-26 19:21:40,509 - MVC.controller.ai - INFO - angle parcourue 18.0, angle 90
2024-03-26 19:21:40,509 - MVC.controller.ai - INFO - angle parcourue 19.0, angle 90
2024-03-26 19:21:40,511 - MVC.controller.ai - INFO - angle parcourue 19.0, angle 90
2024-03-26 19:21:40,511 - MVC.controller.ai - INFO - angle parcourue 20.0, angle 90
